Feature,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16
Feature1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature6,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature7,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature8,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature9,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature10,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature11,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature12,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
Feature13,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
Feature14,0,0,0,0,84,0,0,0,0,0,0,0,0,0,51,0
Feature15,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0
Feature16,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
Feature17,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
Feature18,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
Feature19,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
Feature20,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
Feature21,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
Feature22,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
Feature23,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Feature24,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
Feature25,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
Feature26,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
Feature27,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
Feature28,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
Feature29,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
Feature30,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
Feature31,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
Feature32,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
Feature33,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
Feature34,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
Feature35,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0
Feature36,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
Feature37,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
Feature38,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
Feature39,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
Feature40,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0
Feature41,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
Feature42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Feature43,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
Feature44,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
Feature45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
Feature46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
Feature47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
Feature48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Feature49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
Feature50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
Feature51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16